imie i nazwisko;adres;wiek;plec;telefon;e-mail
Aleksander Pełka;Szczytno ul. Mokra 5;24;M;695421365;aleks@wp.pl
Tomasz Akwin;Osztyn ul. Wolska 8;26;M;699546321;toms@wp.pl
Zygmunt Fraszka;Warszawa ul. Wiejska 8;22;M;721546325;zigi@onet.pl
Patrycja Kokoszka;Gdańsk ul. Polna 17;34;K;722653145;patis@serduszko.pl
Andrzej Terka;Darłowo ul. Spokojna 19;36;M;510122254;andrew@vp.pl
Jan Janecki;Janów ul. Zielona 6;45;M;603215465;janiu@interia.pl
Anna Musiała;Łódź ul. Warszawska 2;40;K;606325142;aneczka@onet.pl
Izabela Trojan;Wrocław ul. Łysa 26;35;K;726562145;izus@wp.pl
Franciszek Pieczka;Opole ul. Niewiadoma 36;41;M;710125125;franc@o2.pl
Borys Szyc;Kraków ul. Wawelska 13;28;M;523232654;borko@wp.pl
Aleksadra Fajna;Sandomierz ul. Mateusza 42;22;K;509451200;olcia@gmail.com
Miłosz Miłosny;Miłoszów ul. Mała 11;36;M;510183830;milos@vp.pl
Piotr Pawelec;Pablowice ul. Cicha 70;39;M;723021542;piter@poczta.fm
Paweł Piotrowski;Strzelin ul. Ciemna 54;47;M;693215412;pablo@vp.pl
Stefan Niesiołek;Gdynia ul. Zatoki 11;43;M;691241125;stefi@onet.pl
Jadwiga Mokra;Mokroszów ul. Biała 65;56;K;705213654;jadzka@kolor.pl
Sylwester Brożka;Wieluń ul. Polska 1;51;M;603125478;silvo@wp.pl
Marcin Brzezinka;Szczecin ul. Rybna 7;24;M;723456852;martin@o2.pl
Piotr Bąkowski;Warszawa ul. Zalana 6;18;M;508541203;pitera@gmail.com
Szymon Szymański;Szymany ul. Solna 10;19;M;511212545;simon@zryw.pl
